id,frame,cls,event,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
2,81,2,cross_up,1773,19,1919,557,1846,288
7,129,5,cross_up,1662,26,1919,575,1790,300
9,226,2,cross_down,482,198,707,450,594,324
8,227,2,cross_down,455,155,728,483,591,319
13,327,3,cross_down,503,234,579,383,541,308
11,328,3,cross_down,478,231,577,414,527,322
15,363,7,cross_down,454,160,679,446,566,303
16,363,5,cross_down,455,159,680,449,567,304
14,364,2,cross_down,431,135,694,476,562,305
24,936,2,cross_down,1639,274,1875,351,1757,312
25,936,2,cross_down,1648,274,1884,376,1766,325
28,937,5,cross_down,1340,213,1629,401,1484,307
29,940,2,cross_down,1339,137,1744,504,1541,320
30,948,5,cross_down,1280,3,1920,864,1600,433
32,1016,3,cross_down,865,246,945,404,905,325
33,1017,3,cross_down,852,269,940,379,896,324
34,1038,2,cross_down,560,142,848,520,704,331
37,1038,7,cross_down,566,157,844,516,705,336
38,1038,7,cross_down,571,167,840,508,705,337
