id,frame,cls,event,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
9,226,7,cross_down,479,192,704,444,591.5,318.0
8,227,2,cross_down,455,155,728,483,591.5,319.0
11,328,3,cross_down,478,231,577,414,527.5,322.5
12,331,0,cross_down,443,209,555,400,499.0,304.5
14,363,5,cross_down,466,169,676,442,571.0,305.5
16,364,2,cross_down,431,135,694,476,562.5,305.5
25,940,7,cross_down,1341,145,1759,498,1550.0,321.5
27,945,5,cross_down,1294,109,1800,498,1547.0,303.5
29,1016,3,cross_down,866,249,946,407,906.0,328.0
30,1019,8,cross_down,836,195,951,460,893.5,327.5
31,1038,2,cross_down,560,142,848,520,704.0,331.0
33,1038,7,cross_down,566,155,844,514,705.0,334.5
